s_det: -1.849083423614502, s_id: -1.043219804763794, loss: 19.38574981689453, hm_loss: 4.418014049530029, wh_loss: 0.42698729038238525, off_loss: 0.395448237657547, id_loss: 3.8077826499938965
s_det: -1.8490797281265259, s_id: -1.0431276559829712, loss: 22.58762550354004, hm_loss: 5.469304084777832, wh_loss: 0.5111478567123413, off_loss: 0.24800533056259155, id_loss: 4.022110939025879
s_det: -1.8490760326385498, s_id: -1.0430353879928589, loss: 18.13226318359375, hm_loss: 4.058414936065674, wh_loss: 0.4681571125984192, off_loss: 0.29680466651916504, id_loss: 3.9418814182281494
s_det: -1.8490723371505737, s_id: -1.0429432392120361, loss: 32.02520751953125, hm_loss: 8.51140022277832, wh_loss: 0.27128177881240845, off_loss: 0.3031332790851593, id_loss: 3.7931206226348877
s_det: -1.8490684032440186, s_id: -1.0428515672683716, loss: 15.237515449523926, hm_loss: 3.1467087268829346, wh_loss: 0.33762261271476746, off_loss: 0.3081442415714264, id_loss: 3.947648286819458
s_det: -1.8490647077560425, s_id: -1.042759895324707, loss: 16.401100158691406, hm_loss: 3.470140218734741, wh_loss: 0.7067331075668335, off_loss: 0.33338114619255066, id_loss: 3.904738187789917
s_det: -1.849061131477356, s_id: -1.042668342590332, loss: 20.48609161376953, hm_loss: 4.2820844650268555, wh_loss: 0.8335089683532715, off_loss: 0.3251267969608307, id_loss: 4.956604957580566
s_det: -1.8490575551986694, s_id: -1.0425746440887451, loss: 23.53986358642578, hm_loss: 5.809455871582031, wh_loss: 1.1098284721374512, off_loss: 0.2614656090736389, id_loss: 3.769630193710327
s_det: -1.8490538597106934, s_id: -1.042481541633606, loss: 18.348751068115234, hm_loss: 4.241607189178467, wh_loss: 0.4766368865966797, off_loss: 0.2820437550544739, id_loss: 3.717517852783203
s_det: -1.8490502834320068, s_id: -1.042389154434204, loss: 18.587032318115234, hm_loss: 4.281728744506836, wh_loss: 0.4850878417491913, off_loss: 0.27884551882743835, id_loss: 3.8012890815734863
s_det: -1.8490467071533203, s_id: -1.0422972440719604, loss: 20.698284149169922, hm_loss: 4.952690601348877, wh_loss: 0.3988402485847473, off_loss: 0.34935420751571655, id_loss: 3.648656129837036
s_det: -1.8490431308746338, s_id: -1.042206048965454, loss: 25.55479621887207, hm_loss: 5.815203666687012, wh_loss: 0.5757914185523987, off_loss: 0.40562257170677185, id_loss: 4.976082801818848
s_det: -1.8490394353866577, s_id: -1.0421124696731567, loss: 23.592628479003906, hm_loss: 5.458469867706299, wh_loss: 0.61911940574646, off_loss: 0.30375009775161743, id_loss: 4.610447406768799
s_det: -1.8490357398986816, s_id: -1.0420175790786743, loss: 20.537015914916992, hm_loss: 4.809717655181885, wh_loss: 0.32235878705978394, off_loss: 0.32270339131355286, id_loss: 3.9332354068756104
s_det: -1.8490320444107056, s_id: -1.0419230461120605, loss: 21.685619354248047, hm_loss: 5.230182647705078, wh_loss: 0.3174947500228882, off_loss: 0.31558266282081604, id_loss: 3.8186278343200684
s_det: -1.8490283489227295, s_id: -1.0418291091918945, loss: 26.802051544189453, hm_loss: 6.823125839233398, wh_loss: 0.38993293046951294, off_loss: 0.40594226121902466, id_loss: 3.6396780014038086
s_det: -1.8490245342254639, s_id: -1.041736125946045, loss: 22.687389373779297, hm_loss: 5.513339519500732, wh_loss: 0.414366751909256, off_loss: 0.31293609738349915, id_loss: 3.875730037689209
s_det: -1.8490206003189087, s_id: -1.0416433811187744, loss: 19.894611358642578, hm_loss: 4.566031455993652, wh_loss: 0.882781982421875, off_loss: 0.3461674749851227, id_loss: 3.8494651317596436
s_det: -1.849016785621643, s_id: -1.0415509939193726, loss: 17.657773971557617, hm_loss: 3.9139180183410645, wh_loss: 0.7713231444358826, off_loss: 0.2923578917980194, id_loss: 3.8788647651672363
s_det: -1.8490129709243774, s_id: -1.0414588451385498, loss: 21.86405372619629, hm_loss: 5.290603160858154, wh_loss: 0.6977534890174866, off_loss: 0.2746669054031372, id_loss: 3.8174149990081787
s_det: -1.8490091562271118, s_id: -1.0413669347763062, loss: 26.271472930908203, hm_loss: 6.6686201095581055, wh_loss: 0.7576416730880737, off_loss: 0.35952073335647583, id_loss: 3.635084629058838
s_det: -1.8490052223205566, s_id: -1.0412757396697998, loss: 16.937694549560547, hm_loss: 4.047904014587402, wh_loss: 0.2758357524871826, off_loss: 0.262546569108963, id_loss: 3.249044418334961
s_det: -1.8490012884140015, s_id: -1.0411860942840576, loss: 22.237157821655273, hm_loss: 4.752596855163574, wh_loss: 0.8857012391090393, off_loss: 0.37138643860816956, id_loss: 5.029591083526611
s_det: -1.8489973545074463, s_id: -1.0410937070846558, loss: 19.922466278076172, hm_loss: 4.642156600952148, wh_loss: 0.42042118310928345, off_loss: 0.35858479142189026, id_loss: 3.7764079570770264
s_det: -1.8489935398101807, s_id: -1.0410016775131226, loss: 20.32537269592285, hm_loss: 4.373652935028076, wh_loss: 0.5418742895126343, off_loss: 0.35740163922309875, id_loss: 4.639066696166992
s_det: -1.848989725112915, s_id: -1.0409080982208252, loss: 20.895944595336914, hm_loss: 4.542426109313965, wh_loss: 0.48789283633232117, off_loss: 0.39148417115211487, id_loss: 4.5994672775268555
s_det: -1.8489859104156494, s_id: -1.0408132076263428, loss: 21.042804718017578, hm_loss: 5.164242744445801, wh_loss: 0.44313836097717285, off_loss: 0.2858702838420868, id_loss: 3.555429220199585
s_det: -1.8489820957183838, s_id: -1.0407195091247559, loss: 19.169944763183594, hm_loss: 4.594457149505615, wh_loss: 0.34628692269325256, off_loss: 0.277071475982666, id_loss: 3.5528640747070312
s_det: -1.8489782810211182, s_id: -1.0406267642974854, loss: 17.006088256835938, hm_loss: 3.261482000350952, wh_loss: 1.074831485748291, off_loss: 0.3972703814506531, id_loss: 4.582729816436768
